Case_ID,Issue_Type,Symptom,Topology_Note,Show_Output,Expected_Fault,OSI_Layer,Concept,Severity
NET-017,IP Addressing,PC1 cannot reach the server using the intended routing path.,PC1 should belong to the 192.168.10.0/24 network.,"PC1 IP = 192.168.20.10, Mask = 255.255.255.0, Gateway = 192.168.10.1; ping to gateway/server fails.",PC1 has been assigned an address from the server-side network.,Layer 3,Network Addressing,High
NET-018,IP Addressing,PC2 cannot communicate using its intended LAN configuration.,PC2 should belong to the 192.168.10.0/24 network.,"PC2 IP = 192.168.20.11, Mask = 255.255.255.0, Gateway = 192.168.10.1; connectivity fails.",PC2 has been assigned an address from the wrong network.,Layer 3,Network Addressing,High
NET-019,IP Addressing,Server cannot reach the server at 192.168.20.100.,Server should belong to the 192.168.20.0/24 network behind R1 G0/1.,"Server IP = 192.168.10.100, Mask = 255.255.255.0, Gateway = 192.168.20.1; ping to 192.168.20.100 fails.",Server has been assigned an address from the PC-side network.,Layer 3,Network Addressing,High
NET-020,Default Gateway,PC1 cannot reach the remote server.,PC1 is connected to SW1 and should use 192.168.10.1 as gateway.,"PC1 IP = 192.168.10.10, Mask = 255.255.255.0, Gateway = 192.168.10.2; gateway ping fails.",A gateway address typo points PC1 to an unavailable address.,Layer 3,Address Validation,High
NET-021,Default Gateway,PC2 cannot reach the remote server.,PC2 is connected to SW1 and should use 192.168.10.1 as gateway.,"PC2 IP = 192.168.10.11, Mask = 255.255.255.0, Gateway = 192.168.10.2; gateway ping fails.",A gateway address typo points PC2 to an unavailable address.,Layer 3,Address Validation,High
NET-022,Default Gateway,Server cannot return traffic to PC1.,Server is connected to SW2 and should use 192.168.20.1 as gateway.,"Server IP = 192.168.20.100, Mask = 255.255.255.0, Gateway = 192.168.20.2; gateway ping fails.",A gateway address typo points the server to an unavailable address.,Layer 3,Address Validation,High
NET-023,Duplicate / IP Conflict,PC1 and PC2 cannot reliably communicate because their addresses conflict.,Both PCs are connected to SW1 on the same LAN.,PC1 IP = 192.168.10.11; PC2 IP = 192.168.10.11; arp -a shows the duplicate address.,PC1 has been assigned PC2's existing IPv4 address.,Layer 3,IP Conflict,High
NET-024,Duplicate / IP Conflict,PC1 and PC2 have conflicting addressing.,Both PCs are connected to SW1 on the same LAN.,PC1 IP = 192.168.10.10; PC2 IP = 192.168.10.10; arp -a shows the duplicate address.,PC2 has been assigned PC1's existing IPv4 address.,Layer 3,IP Conflict,High
NET-025,Subnet Mask / Subnetting,PC1 cannot reach its configured gateway.,PC1 is connected to SW1 and R1 G0/0 is 192.168.10.1.,"PC1 IP = 192.168.10.10, Mask = 255.255.255.252, Gateway = 192.168.10.1; ping to gateway fails.",The /30 mask places PC1 and its gateway in different calculated subnets.,Layer 3,CIDR / Subnetting,High
NET-026,Subnet Mask / Subnetting,PC2 cannot reach its configured gateway.,PC2 is connected to SW1 and R1 G0/0 is 192.168.10.1.,"PC2 IP = 192.168.10.11, Mask = 255.255.255.252, Gateway = 192.168.10.1; ping to gateway fails.",The /30 mask creates an incorrect subnet boundary for PC2.,Layer 3,CIDR / Subnetting,High
NET-027,Subnet Mask / Subnetting,Server cannot reach its configured gateway.,Server is connected to SW2 and R1 G0/1 is 192.168.20.1.,"Server IP = 192.168.20.100, Mask = 255.255.255.252, Gateway = 192.168.20.1; ping to gateway fails.",The /30 mask places the server and gateway in different calculated subnets.,Layer 3,CIDR / Subnetting,High
NET-028,Network/Gateway Matching,PC1 cannot reach the server.,PC1 belongs to the 192.168.10.0/24 LAN behind R1 G0/0.,"PC1 IP = 192.168.10.10, Mask = 255.255.255.0, Gateway = 192.168.20.1; gateway ping fails.",PC1 uses R1's G0/1 address instead of its local G0/0 gateway.,Layer 3,Gateway Network Match,High
NET-029,Network/Gateway Matching,PC2 cannot reach the server.,PC2 belongs to the 192.168.10.0/24 LAN behind R1 G0/0.,"PC2 IP = 192.168.10.11, Mask = 255.255.255.0, Gateway = 192.168.20.1; gateway ping fails.",PC2 uses a gateway belonging to the remote server network.,Layer 3,Gateway Network Match,High
NET-030,Network/Gateway Matching,Server cannot communicate correctly with the client network.,Server belongs to the 192.168.20.0/24 LAN behind R1 G0/1.,"Server IP = 192.168.20.100, Mask = 255.255.255.0, Gateway = 192.168.10.1; gateway ping fails.",Server uses R1's G0/0 address instead of its local G0/1 gateway.,Layer 3,Gateway Network Match,High
